A0A075B6S6	('T96060009133', 0)
A0A088MLT8	('T100900007077', 1)
A0A096SRM5	('T45770000004', 2)
A0A0A6YY25	('T100900001604', 3)
A0A0A6YYK7	('T96060018526', 4)
A0A0B4K692	('T72270001979', 5)
A0A0C4DH25	('T96060009128', 6)
A0A0C4DH73	('T96060009102', 7)
A0A0G2JV04	('T101160002760', 8)
A0A0G2K0D3	('T101160003939', 9)
A0A0G2K344	('T101160005373', 10)
A0A0G2KBC9	('T101160003961', 11)
A0A0K2S4Q6	('T96060002621', 12)
A0A0K3AV08	('T62390001718', 13)
A0A0K3AWM6	('T62390001747', 14)
A0A0R4IFG5	('T79550000406', 15)
A0A0R4IKJ1	('T79550000305', 16)
A0A0R4IKU3	('T79550002160', 17)
A0A140G945	('T96060003892', 18)
A0A178U9Y5	('T37020014222', 19)
A0A193KX02	('T79550002822', 20)
A0A1C3NSL9	('T62390000094', 21)
A0A1D6GNR3	('T45770000342', 22)
A0A1D6GQ67	('T45770000070', 23)
A0A1D6HSP4	('T45770000074', 24)
A0A1D6KL43	('T45770000510', 25)
A0A1D6KUI6	('T45770000341', 26)
A0A1D6LAB7	('T45770000558', 27)
A0A1D6LAG9	('T45770000134', 28)
A0A1D6LTV0	('T45770000713', 29)
A0A1I9LMX5	('T37020009681', 30)
A0A1L2F565	('T79550002085', 31)
A0A1P8AUY4	('T37020008142', 32)
A0A1P8B8F8	('T37020015262', 33)
A0A1P8BH59	('T37020010051', 34)
A0A1Z2R986	('T79550000768', 35)
A0A291LSD6	('T45770000712', 36)
A0FGR9	('T96060005478', 37)
A0FLQ6	('T62390000748', 38)
A0JLT2	('T96060010108', 39)
A0JMD4	('T79550002830', 40)
A0JMQ9	('T79550003112', 41)
A0JNT9	('T100900001444', 42)
A0JPL0	('T101160008035', 43)
A0M8Q6	('T96060008008', 44)
A0MFS5	('T37020015127', 45)
A0MGZ7	('T79550001073', 46)
A0MS83	('T79550003090', 47)
A0MSJ1	('T79550000543', 48)
A0MZ66	('T96060015850', 49)
A0MZ67	('T101160006582', 50)
A0PJY2	('T96060006025', 51)
A0PJZ3	('T96060007206', 52)
A0PK00	('T96060016970', 53)
A0SVK0	('T37020003960', 54)
A0T2N3	('T79550000112', 55)
A1A4S6	('T96060014484', 56)
A1A546	('T100900007133', 57)
A1A580	('T96060008996', 58)
A1A5C7	('T96060015199', 59)
A1A5Q0	('T101160003940', 60)
A1A5V7	('T79550002803', 61)
A1A6M1	('T37020011209', 62)
